symbol_name,image_url,meaning
Electronic Stability Control Off Warning Light,https://carwarninglights.net/wp-content/uploads/bmw-5-series-electronic-stability-control-off-warning-light.jpg.webp,Generally when the vehicle loses control and stays on when a malfunction is detected or the system is turned off manually
Tire Pressure Monitoring System Tpms Warning Light,https://carwarninglights.net/wp-content/uploads/bmw-5-series-tire-pressure-monitoring-systemtpms-warning-light-.jpg.webp,tire pressure in your car is low or there is a problem in the system
Lane Departure  Warning Light,https://carwarninglights.net/wp-content/uploads/bmw-5-series-lane-departure-warning-light.png.webp,it is detected that the vehicle is leaving its current lane without signaling
Smart Entry System Indicator Light,https://carwarninglights.net/wp-content/uploads/mitsubishi-outlander-sports-smart-entry-system-indicator-light.png.webp,a malfunction in the smart entry & start system or The warning lamp informs that the ignition key is faulty
Lane Depature Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulia-lane-depature-warning.jpg.webp,the lane change is made without using the signal
Suspension Control Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulia-suspension-control.jpg.webp,the suspension system fails
Automatic Gearbox Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulia-gearbox-clutch.jpg.webp,there is a problem with the automatic transmission
Collision Mitigating Braking System Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-stelvio-quadrifoglio-collision-mitigating-braking-system-warning-light.png.webp,"when the system is turned off, when the radar sensor is dirty or clogged, or when there is a malfunction in the system"
Blind Spot İndicator Light,https://carwarninglights.net/wp-content/uploads/toyota-tundra-blind-spot-indicator-light.png.webp,a vehicle or obstacle is detected in your blind spot
Pre sense warning light,https://carwarninglights.net/wp-content/uploads/audi-q5-audi-pre-sense.jpg.webp,"Pre Sense, uses sensors that trigger the electronic stability control system when the driver applies the brake forcefully. In turn, electric motors tighten or tighten the front seat belts in preparation for a possible accident. In addition, Basic turns on the hazard warning flashers, closes the windows and closes the sunroof (if equipped). This version of Pre Sense does not help the driver avoid collision. Instead, it prepares the cabin for impact to reduce the chance of serious injury should it occur."
Hill Descent Control Warning Light,https://carwarninglights.net/wp-content/uploads/audi-e-tron-hill-descent-warning-light.png.webp,"If the hill descent control indicator light is steady ON, the system is ON and armed and is controlling the vehicle speed. If the hill descent control indicator light is flashing, the system is ON but is not activated and is not controlling vehicle speed."
Turn Signal Indicator Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-turn-signal-indicator-light.jpg.webp,Indicates that the signal is on
Service Stop Start System Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-service-stop-start-system-warning-light.jpg.webp,"issue in engine stop/start system, which helps save fuel by turning your engine off when you’re at a red light"
Cruise Control Indicator Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-cruise-control-indicator-light.jpg.webp,cruise control is activated
Headlight On Indicator Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-headlight-on-indicator-light.jpg.webp,short headlamps and stop lights are on
Dipped Head Lights,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-dipped-head-lights.jpg.webp,short headlights are on
High Beam Indicator Light Warning Light,https://carwarninglights.net/wp-content/uploads/nissan-qashqai-high-beam-indicator-light-warning-light.jpg.webp,long beamed headlights are on
Fuel Filter Warning Light,https://carwarninglights.net/wp-content/uploads/indir-1.png.webp,the fuel filter is dirty or worn. You must clean or replace the fuel filter as soon as possible
